id,name,email,phone,password,role,aadhaar,created_at
12fc7936-034e-4672-b204-d9d357953a5f,Admin Officer,admin@landrecords.gov.in,9800000001,240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9,admin,,2026-08-20T15:25:51.542462
c0dc331c-861c-4bb1-99dc-69d39c226fe6,Ramesh Kumar Sharma,ramesh@email.com,9876543210,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,1234-5678-9012,2026-08-20T15:25:51.542496
9d9734a7-1703-4db3-82ad-825e8a41a5ea,Priya Devi Nair,priya@email.com,9876543211,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,2345-6789-0123,2026-08-20T15:25:51.542502
518a99c7-276c-4f5f-98ae-e92d9bf6b3ac,Suresh Babu Reddy,suresh@email.com,9876543212,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,3456-7890-1234,2026-08-20T15:25:51.542506
09b9f80b-169e-4a15-9820-882165fe5129,Anita Kumari Singh,anita@email.com,9876543213,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,4567-8901-2345,2026-08-20T15:25:51.542510
72a28988-7259-4102-9ae0-452ede3ba196,Mohammad Arif Khan,arif@email.com,9876543214,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,5678-9012-3456,2026-08-20T15:25:51.542515
4e5a68e7-3e07-44c8-8d9a-6b2d98b85c9b,Lakshmi Venkatesh,lakshmi@email.com,9876543215,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,6789-0123-4567,2026-08-20T15:25:51.542518
43beba1f-be3c-46c2-ba37-6a8f01fed7d4,Vijay Prakash Rao,vijay@email.com,9876543216,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,7890-1234-5678,2026-08-20T15:25:51.542521
bf63502d-5134-47ad-8652-6e15c33425b7,Geeta Mahesh Patel,geeta@email.com,9876543217,4b4b4c19fdc4b422ca5a52085c3ba8fd2087c62afb06dae791f8fb9c51c56b4b,citizen,8901-2345-6789,2026-08-20T15:25:51.542523
8885a207-99b1-48e2-8527-a76599f53caa,Aarav Sharma,aarav.sharma@bhoomi.gov.in,9876543299,4dbd5e49147b5102ee2731ac03dd0db7decc3b8715c3df3c1f3ddc62dcbcf86d,citizen,9999-8888-7777,2026-08-20T15:45:46.429172
